Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, -0.562416, 161.428513
51.53612032610433, -0.593971, 160.547882
53.11943396533411, -0.68432, 158.016205
54.75139080984025, -0.695749, 157.691162
56.433485295949836, -0.819704, 157.278107
58.16725777267021, -0.857083, 156.562057
59.95429591223723, -0.879962, 155.590637
61.796236163998465, -1.025874, 155.009766
63.69476525296374, -1.076865, 154.088104
65.65162172439418, -1.127726, 153.033997
67.66859753584531, -1.219149, 152.032547
69.74753969812103, -1.324975, 150.905975
71.89035196664213, -1.46535, 150.117142
74.0989965847772, -2.230556, 148.794739
76.37549608073348, -2.305849, 147.47435
78.72193511965182, -2.434723, 146.152206
81.14046241260314, -2.657922, 144.896973
83.63329268423324, -2.762788, 143.420959
86.20270870085896, -2.984671, 142.287827
88.85106336087178, -3.153014, 141.026932
91.58078184936421, -3.363235, 139.555511
94.39436385895092, -3.916332, 137.648148
97.29438587881944, -4.235782, 136.185028
100.28350355410537, -4.744505, 134.338181
103.36445411775371, -5.075153, 133.403564
106.54005889709293, -5.555273, 131.576523
109.81322589741649, -6.006755, 131.337158
113.18695246493866, -6.688238, 129.658188
116.66432803156273, -7.223773, 128.670807
120.24853694397449, -7.849764, 127.977432
123.94286137965344, -8.655363, 127.459297
127.75068435246993, -9.5444, 128.286652
131.6754928106213, -10.480275, 128.768127
135.7208808297453, -11.46143, 131.02037
139.89055290413245, -12.75991, 135.013245
144.18832733905268, -13.510389, 140.900284
148.61813974730293, -14.497059, 148.937332
153.18404665317587, -14.625091, 158.687012
157.89022920715306, -14.545474, 165.064011
162.74099701472082, -12.238617, 165.384872
167.74079208281677, -14.23601, -174.684235
172.8941928875219, -13.457914, -169.367813
178.20591856672044, -12.585827, -165.476822
183.6808332415691, -11.715217, -164.523407
189.32395047073243, -11.132278, -169.931717
195.14043784146168, -11.241978, -157.762939
201.13562170172506, -9.842486, -152.801514
207.31499203771833, -9.252966, -155.350555
213.68420750122428, -8.995568, -160.961029
220.24910059142684, -8.462145, -159.898849
227.01568299592063, -7.76009, -154.662155
233.9901510958105, -7.189518, -153.939835
241.17889163994047, -7.070133, -155.855499
248.58848759344932, -6.787271, -156.396957
256.225724166006, -6.477965, -157.608673
264.0975950252501, -6.261229, -158.387405
272.21130870112154, -6.069996, -159.608978
280.57429518694664, -5.84536, -160.434875
289.19421274332797, -5.663503, -161.024796
298.07895491106336, -5.51217, -162.329956
307.2366577395198, -5.409972, -163.175339
316.67570723708087, -5.203818, -163.39711
326.4047470504878, -5.050849, -164.336853
336.4326863801118, -4.926881, -165.224594
346.7687081383997, -4.870213, -166.045822
357.4222773589664, -4.800416, -166.617706
368.40314986403865, -4.712467, -167.304138
379.7213811981789, -4.58164, -168.028702
391.38733583647763, -4.495358, -168.915985
403.41169667564276, -4.437634, -169.617599
415.8054748166766, -4.391799, -170.011459
428.58001964810387, -4.338112, -170.730652
441.7470292389773, -4.264295, -171.153076
455.3185610511813, -4.241477, -172.060562
469.3070429808473, -4.21422, -172.652725
483.7252847389833, -4.147749, -173.222885
498.58648958174655, -4.161695, -174.043564
513.9042664010972, -4.121003, -174.748718
529.6926421869069, -4.115951, -175.285843
545.9660748719314, -4.064462, -175.734436
562.7394665714154, -3.98948, -176.039856
580.0281772294447, -4.025717, -176.926453
597.8480386845528, -4.015955, -177.157867
616.2153691674517, -4.016119, -178.21608
635.146988244172, -3.979761, -178.462189
654.6602322182886, -3.993994, -178.929169
674.7729700063431, -4.002031, -179.488953
695.5036195009939, -3.998275, -179.964508
716.8711644368869, -3.991949, 179.543121
738.8951717746787, -3.982121, 178.993301
761.5958096191474, -4.026113, 178.600647
784.9938656877847, -3.980698, 178.153351
809.1107663467892, -3.973793, 177.77916
833.9685962318924, -4.038702, 177.066391
859.5901184719835, -3.985651, 176.778564
885.9987955340486, -4.027384, 176.351303
913.2188107085248, -4.041372, 175.671661
941.2750902547297, -4.006736, 175.605621
970.1933262266493, -4.06291, 174.859512
1000, -4.094823, 174.732422
