Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, 0.279355, -19.593563
51.53612032610433, 0.304972, -20.528206
53.11943396533411, 0.480609, -22.106663
54.75139080984025, 0.469978, -22.610102
56.433485295949836, 0.434155, -23.637167
58.16725777267021, 0.449343, -24.386248
59.95429591223723, 0.483994, -25.174671
61.796236163998465, 0.490841, -26.448746
63.69476525296374, 0.528251, -27.38518
65.65162172439418, 0.5484, -28.32571
67.66859753584531, 0.576723, -29.455717
69.74753969812103, 0.608506, -30.597738
71.89035196664213, 0.605505, -31.961208
74.0989965847772, 0.649938, -33.253506
76.37549608073348, 0.657845, -34.58633
78.72193511965182, 0.676384, -35.910709
81.14046241260314, 0.686491, -37.372055
83.63329268423324, 0.69119, -38.854427
86.20270870085896, 0.702849, -40.555664
88.85106336087178, 0.691486, -42.311905
91.58078184936421, 0.694555, -44.131393
94.39436385895092, 0.701452, -45.895161
97.29438587881944, 0.633005, -47.966087
100.28350355410537, 0.623614, -49.752308
103.36445411775371, 0.593749, -52.479458
106.54005889709293, 0.540958, -54.505318
109.81322589741649, 0.536618, -56.751431
113.18695246493866, 0.42167, -59.235943
116.66432803156273, 0.336642, -61.823593
120.24853694397449, 0.22701, -64.40551
123.94286137965344, 0.065383, -67.177841
127.75068435246993, -0.074868, -69.805923
131.6754928106213, -0.255903, -72.537071
135.7208808297453, -0.479374, -75.37439
139.89055290413245, -0.672791, -78.124191
144.18832733905268, -0.921737, -81.097984
148.61813974730293, -1.24314, -83.290024
153.18404665317587, -1.507556, -86.058327
157.89022920715306, -1.892542, -89.269112
162.74099701472082, -2.244117, -91.804947
167.74079208281677, -2.581304, -94.510796
172.8941928875219, -2.991494, -96.927505
178.20591856672044, -3.385513, -99.284241
183.6808332415691, -3.82828, -101.451859
189.32395047073243, -4.219129, -103.98893
195.14043784146168, -4.729071, -106.090446
201.13562170172506, -5.206961, -107.447243
207.31499203771833, -5.635045, -109.410721
213.68420750122428, -6.173901, -111.59436
220.24910059142684, -6.656149, -113.115997
227.01568299592063, -7.154926, -114.611801
233.9901510958105, -7.609042, -116.272919
241.17889163994047, -8.204299, -117.070236
248.58848759344932, -8.729877, -118.019073
256.225724166006, -9.166492, -119.554443
264.0975950252501, -9.663838, -120.266724
272.21130870112154, -10.199162, -121.492523
280.57429518694664, -10.753145, -122.675606
289.19421274332797, -11.327135, -123.226936
298.07895491106336, -11.785669, -122.965096
307.2366577395198, -12.214398, -123.734085
316.67570723708087, -12.7874, -124.580681
326.4047470504878, -13.299896, -125.213516
336.4326863801118, -13.74054, -126.15097
346.7687081383997, -14.247112, -126.301666
357.4222773589664, -14.845142, -126.008209
368.40314986403865, -15.346776, -126.156723
379.7213811981789, -15.734255, -126.666595
391.38733583647763, -16.197098, -127.237297
403.41169667564276, -16.667067, -127.366989
415.8054748166766, -17.229071, -126.948669
428.58001964810387, -17.663502, -126.57196
441.7470292389773, -18.099813, -127.652016
455.3185610511813, -18.565575, -125.811172
469.3070429808473, -19.037323, -126.479927
483.7252847389833, -19.659292, -127.362457
498.58648958174655, -20.108593, -127.617218
513.9042664010972, -20.479939, -125.645485
529.6926421869069, -20.990349, -125.433815
545.9660748719314, -21.432774, -125.696999
562.7394665714154, -21.853151, -125.91346
580.0281772294447, -22.420666, -125.587265
597.8480386845528, -22.806557, -125.699005
616.2153691674517, -23.280434, -125.221817
635.146988244172, -23.458622, -124.913803
654.6602322182886, -23.935738, -123.411781
674.7729700063431, -24.326935, -123.300133
695.5036195009939, -24.826183, -122.220993
716.8711644368869, -25.401501, -123.561295
738.8951717746787, -25.801388, -122.172897
761.5958096191474, -26.110691, -120.842209
784.9938656877847, -26.280596, -121.942703
809.1107663467892, -26.733582, -121.021118
833.9685962318924, -27.561663, -120.496414
859.5901184719835, -27.379116, -118.179558
885.9987955340486, -28.140181, -118.42601
913.2188107085248, -28.372717, -118.01358
941.2750902547297, -29.033379, -115.579575
970.1933262266493, -28.971546, -118.678444
1000, -29.455568, -117.743935
