Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, -19.856361, -174.787003
51.53612032610433, -18.509808, -175.764725
53.11943396533411, -18.018343, 172.544434
54.75139080984025, -17.243645, 175.378433
56.433485295949836, -16.996134, 177.206879
58.16725777267021, -16.258312, 177.558441
59.95429591223723, -15.540004, 176.381866
61.796236163998465, -15.162634, 177.720245
63.69476525296374, -14.512613, 177.243378
65.65162172439418, -13.7995, 176.414719
67.66859753584531, -13.217517, 176.202896
69.74753969812103, -12.569532, 175.938171
71.89035196664213, -11.872795, 176.589493
74.0989965847772, -11.271024, 176.158203
76.37549608073348, -10.574165, 175.986786
78.72193511965182, -9.885179, 175.522842
81.14046241260314, -9.204185, 175.246185
83.63329268423324, -8.519035, 174.949142
86.20270870085896, -7.762943, 174.705994
88.85106336087178, -6.987915, 174.331818
91.58078184936421, -6.210406, 174.332108
94.39436385895092, -5.382757, 174.265717
97.29438587881944, -4.678986, 173.778839
100.28350355410537, -3.722239, 173.630615
103.36445411775371, -2.943398, 172.84404
106.54005889709293, -1.977361, 172.443405
109.81322589741649, -0.994377, 171.221664
113.18695246493866, -0.007556, 170.74202
116.66432803156273, 1.09873, 169.750656
120.24853694397449, 2.243511, 168.62265
123.94286137965344, 3.466311, 167.628082
127.75068435246993, 4.822588, 166.114624
131.6754928106213, 6.267702, 163.880951
135.7208808297453, 7.922695, 161.52356
139.89055290413245, 9.834889, 157.584427
144.18832733905268, 11.951113, 151.732727
148.61813974730293, 15.819603, 75.397141
153.18404665317587, 15.993639, 47.934174
157.89022920715306, 15.903908, 42.0312
162.74099701472082, 15.747334, 38.013512
167.74079208281677, 15.462549, 35.043255
172.8941928875219, 14.831872, 31.036953
178.20591856672044, 13.236169, 24.268085
183.6808332415691, 11.740961, 18.877609
189.32395047073243, 10.409633, 15.071374
195.14043784146168, 9.272352, 13.015407
201.13562170172506, 8.433805, 11.312277
207.31499203771833, 7.671777, 9.429599
213.68420750122428, 6.945053, 8.126067
220.24910059142684, 6.322051, 7.437605
227.01568299592063, 5.832675, 6.881033
233.9901510958105, 5.393499, 5.849838
241.17889163994047, 4.905376, 5.009384
248.58848759344932, 4.497991, 4.722994
256.225724166006, 4.190207, 4.387386
264.0975950252501, 3.896199, 3.876023
272.21130870112154, 3.604318, 3.142099
280.57429518694664, 3.284174, 2.831107
289.19421274332797, 3.065234, 2.849219
298.07895491106336, 2.887184, 2.425241
307.2366577395198, 2.672722, 1.93586
316.67570723708087, 2.466535, 1.678464
326.4047470504878, 2.274109, 1.60351
336.4326863801118, 2.125532, 1.492301
346.7687081383997, 2.010308, 1.197537
357.4222773589664, 1.858042, 0.643226
368.40314986403865, 1.689847, 0.611596
379.7213811981789, 1.571888, 0.604362
391.38733583647763, 1.496256, 0.385183
403.41169667564276, 1.382459, -0.005772
415.8054748166766, 1.250569, -0.111899
428.58001964810387, 1.149072, -0.157736
441.7470292389773, 1.055711, -0.268208
455.3185610511813, 0.990515, -0.444522
469.3070429808473, 0.930818, -0.810477
483.7252847389833, 0.815519, -1.018357
498.58648958174655, 0.723046, -0.77844
513.9042664010972, 0.703425, -0.916161
529.6926421869069, 0.640655, -1.261522
545.9660748719314, 0.557162, -1.360901
562.7394665714154, 0.503698, -1.349912
580.0281772294447, 0.478282, -1.535666
597.8480386845528, 0.423458, -1.841252
616.2153691674517, 0.348552, -1.94433
635.146988244172, 0.296659, -1.960059
654.6602322182886, 0.247808, -1.998063
674.7729700063431, 0.214706, -2.225276
695.5036195009939, 0.176876, -2.406785
716.8711644368869, 0.119971, -2.382356
738.8951717746787, 0.083545, -2.464715
761.5958096191474, 0.043443, -2.827698
784.9938656877847, -0.032878, -2.700025
809.1107663467892, -0.011001, -2.552196
833.9685962318924, -0.031924, -2.901287
859.5901184719835, -0.121512, -3.085777
885.9987955340486, -0.165526, -2.936746
913.2188107085248, -0.168691, -3.03578
941.2750902547297, -0.224492, -3.174071
970.1933262266493, -0.233953, -3.106414
1000, -0.269426, -3.465201
