Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, 0.90492, -1.381529
51.53612032610433, 0.998535, -1.592978
53.11943396533411, 1.083867, -3.17642
54.75139080984025, 1.160567, -2.9163
56.433485295949836, 1.188455, -2.72765
58.16725777267021, 1.285029, -2.796129
59.95429591223723, 1.391569, -3.022331
61.796236163998465, 1.430255, -2.926804
63.69476525296374, 1.533533, -3.082246
65.65162172439418, 1.652982, -3.386203
67.66859753584531, 1.753885, -3.50806
69.74753969812103, 1.86217, -3.650121
71.89035196664213, 2.018904, -3.74448
74.0989965847772, 2.139527, -3.875319
76.37549608073348, 2.29045, -4.075499
78.72193511965182, 2.44444, -4.387666
81.14046241260314, 2.620885, -4.57344
83.63329268423324, 2.797736, -4.817503
86.20270870085896, 3.019723, -4.995443
88.85106336087178, 3.228853, -5.38892
91.58078184936421, 3.473638, -5.66439
94.39436385895092, 3.728083, -5.952715
97.29438587881944, 4.030157, -6.462112
100.28350355410537, 4.331489, -6.695678
103.36445411775371, 4.707861, -7.338583
106.54005889709293, 5.093456, -7.793328
109.81322589741649, 5.538471, -8.417132
113.18695246493866, 6.008645, -9.095353
116.66432803156273, 6.569363, -9.938144
120.24853694397449, 7.184788, -11.022696
123.94286137965344, 7.891121, -12.206942
127.75068435246993, 8.706148, -13.772127
131.6754928106213, 9.640787, -15.878196
135.7208808297453, 10.763161, -18.344467
139.89055290413245, 12.15539, -22.327574
144.18832733905268, 13.740286, -28.174953
148.61813974730293, 16.828148, -102.31456
153.18404665317587, 16.572105, -131.337448
157.89022920715306, 16.084961, -137.495529
162.74099701472082, 15.465556, -141.805649
167.74079208281677, 14.660282, -144.688293
172.8941928875219, 13.490057, -148.680267
178.20591856672044, 11.357118, -155.394806
183.6808332415691, 9.341689, -160.866455
189.32395047073243, 7.468349, -164.930801
195.14043784146168, 5.772972, -166.801529
201.13562170172506, 4.474892, -168.425171
207.31499203771833, 3.177153, -170.653473
213.68420750122428, 1.894065, -171.866653
220.24910059142684, 0.73235, -172.198853
227.01568299592063, -0.257531, -172.781815
233.9901510958105, -1.196054, -174.147476
241.17889163994047, -2.280822, -174.924973
248.58848759344932, -3.221011, -175.004898
256.225724166006, -3.996261, -175.136032
264.0975950252501, -4.78157, -175.931808
272.21130870112154, -5.624906, -177.362762
280.57429518694664, -6.555653, -176.972275
289.19421274332797, -7.226739, -176.189026
298.07895491106336, -7.899347, -177.641769
307.2366577395198, -8.699111, -178.384338
316.67570723708087, -9.407397, -179.151917
326.4047470504878, -10.257469, -179.088531
336.4326863801118, -10.769888, -178.119171
346.7687081383997, -11.300938, -179.048126
357.4222773589664, -12.057929, 179.878174
368.40314986403865, -12.953543, 179.747757
379.7213811981789, -13.540951, -178.347534
391.38733583647763, -13.94813, -179.452423
403.41169667564276, -14.621023, 179.619797
415.8054748166766, -15.507296, 179.067902
428.58001964810387, -16.134901, -179.74086
441.7470292389773, -16.679947, 179.520004
455.3185610511813, -17.11294, 179.292679
469.3070429808473, -17.782701, 179.156784
483.7252847389833, -18.648949, 177.697784
498.58648958174655, -19.291912, -179.06665
513.9042664010972, -19.540791, -178.271332
529.6926421869069, -20.210907, 177.081146
545.9660748719314, -21.030876, 178.203247
562.7394665714154, -21.374815, -179.830154
580.0281772294447, -21.592798, 179.344086
597.8480386845528, -22.260313, 177.188919
616.2153691674517, -23.214437, 177.731567
635.146988244172, -23.830433, 177.795486
654.6602322182886, -24.32085, 178.947845
674.7729700063431, -24.837669, 176.612625
695.5036195009939, -24.695194, 174.729126
716.8711644368869, -25.835575, -179.972504
738.8951717746787, -26.456568, 177.62262
761.5958096191474, -26.894379, 172.740295
784.9938656877847, -28.322521, 175.478973
809.1107663467892, -28.07729, -177.524246
833.9685962318924, -27.573612, 177.086395
859.5901184719835, -29.809647, 171.898788
885.9987955340486, -29.622419, 177.877411
913.2188107085248, -30.628693, 175.932571
941.2750902547297, -31.257458, 177.955688
970.1933262266493, -30.609283, 179.135086
1000, -31.405365, 166.419067
